Unique Key,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Status,Community Board,Borough,Park Borough
26983727,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,726 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 95 STREET,WEST 96 STREET,,,ADDRESS,NEW YORK,Precinct,Closed,07 MANHATTAN,MANHATTAN,MANHATTAN
26983952,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11204,2075 59 STREET,59 STREET,20 AVENUE,21 AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,12 BROOKLYN,BROOKLYN,BROOKLYN
26986390,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10005,,,,,HANOVER SQUARE,WATER STREET,INTERSECTION,NEW YORK,Precinct,Closed,01 MANHATTAN,MANHATTAN,MANHATTAN
26983738,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,201 ST E,GRAND CONCOURSE,201 ST E,GRAND CONCOURSE,INTERSECTION,,N/A,Closed,Unspecified BRONX,BRONX,BRONX
26985284,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10463,2788 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,WEST KINGSBRIDGE ROAD,WEST 229 STREET,,,ADDRESS,BRONX,Precinct,Closed,08 BRONX,BRONX,BRONX
26986277,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11377,32-15 54 STREET,54 STREET,32 AVENUE,NORTHERN BOULEVARD,,,ADDRESS,WOODSIDE,Precinct,Closed,01 QUEENS,QUEENS,QUEENS
26986333,DSNY,BCC - Brooklyn South,Derelict Vehicles,14 Derelict Vehicles,Street,11218,,,DITMAS AVENUE,DAHILL ROAD,DITMAS AVENUE,DAHILL ROAD,INTERSECTION,BROOKLYN,DSNY Garage,Pending,12 BROOKLYN,BROOKLYN,BROOKLYN
26985647,DOT,Department of Transportation,Street Sign - Damaged,Street Cleaning - ASP,Street,11366,73-15 PARSONS BOULEVARD,PARSONS BOULEVARD,73 AVENUE,75 AVENUE,,,ADDRESS,FRESH MEADOWS,N/A,Closed,08 QUEENS,QUEENS,QUEENS
26984326,NYPD,New York City Police Department,Animal Abuse,Tortured,Street/Sidewalk,10458,2390 VALENTINE AVENUE,VALENTINE AVENUE,EAST 184 STREET,EAST 187 STREET,,,ADDRESS,BRONX,Precinct,Closed,05 BRONX,BRONX,BRONX
26984881,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207,,,,,GEORGIA AVENUE,RIVERDALE AVENUE,INTERSECTION,BROOKLYN,Precinct,Closed,05 BROOKLYN,BROOKLYN,BROOKLYN
26985537,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10306,40 DONGAN HILLS AVENUE,DONGAN HILLS AVENUE,RICHMOND ROAD,JEFFERSON STREET,,,ADDRESS,STATEN ISLAND,Precinct,Closed,02 STATEN ISLAND,STATEN ISLAND,STATEN ISLAND
26986314,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10025,875 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 102 STREET,WEST 103 STREET,,,ADDRESS,NEW YORK,N/A,Closed,07 MANHATTAN,MANHATTAN,MANHATTAN
26986444,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,9 PAERDEGAT 14 STREET,PAERDEGAT 14 STREET,PAERDEGAT AVENUE NORTH,EAST 80 STREET,,,ADDRESS,BROOKLYN,Precinct,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26983520,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10022,225 EAST 53 STREET,EAST 53 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,06 MANHATTAN,MANHATTAN,MANHATTAN
26985116,DSNY,P - Manhattan and Bronx,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,10463,3049 BAILEY AVENUE,BAILEY AVENUE,ALBANY CRESCENT,WEST 231 STREET,,,ADDRESS,BRONX,N/A,Open,08 BRONX,BRONX,BRONX
26985149,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,10312,7 RYAN PLACE,RYAN PLACE,KINGHORN STREET,HYLAN BOULEVARD,,,ADDRESS,STATEN ISLAND,Precinct,Closed,03 STATEN ISLAND,STATEN ISLAND,STATEN ISLAND
26984079,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11362,240-31 69 AVENUE,69 AVENUE,DOUGLASTON PARKWAY,242 STREET,,,ADDRESS,LITTLE NECK,Precinct,Closed,11 QUEENS,QUEENS,QUEENS
26985737,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10036,640 10 AVENUE,10 AVENUE,WEST 45 STREET,WEST 46 STREET,,,ADDRESS,NEW YORK,Precinct,Closed,04 MANHATTAN,MANHATTAN,MANHATTAN
26984817,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10467,3195 DECATUR AVENUE,DECATUR AVENUE,EAST 205 STREET,EAST 207 STREET,,,ADDRESS,BRONX,Precinct,Closed,07 BRONX,BRONX,BRONX
26984360,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Other (Explain Below),3+ Family Apartment Building,10029,1952 1 AVENUE,1 AVENUE,EAST 100 STREET,EAST 101 STREET,,,ADDRESS,NEW YORK,N/A,Closed,11 MANHATTAN,MANHATTAN,MANHATTAN
26985555,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11415,,,,,AUSTIN STREET,82 AVENUE,INTERSECTION,Kew Gardens,N/A,Closed,09 QUEENS,QUEENS,QUEENS
26986348,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10467,3155 DECATUR AVENUE,DECATUR AVENUE,EAST 204 STREET,EAST 205 STREET,,,ADDRESS,BRONX,Precinct,Closed,07 BRONX,BRONX,BRONX
26984882,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11432,87-68 171 STREET,171 STREET,HILLSIDE AVENUE,88 AVENUE,,,ADDRESS,JAMAICA,Precinct,Closed,12 QUEENS,QUEENS,QUEENS
26984812,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11693,20 WEST 11 ROAD,WEST 11 ROAD,CROSS BAY BOULEVARD,BODY OF WATER,,,ADDRESS,Far Rockaway,N/A,Closed,14 QUEENS,QUEENS,QUEENS
26985667,DSNY,A - Staten Island,Dirty Conditions,"E4 18"" Law",Street,10303,,,RICHMOND TERRACE,VANPELT AVENUE,RICHMOND TERRACE,VANPELT AVENUE,INTERSECTION,STATEN ISLAND,N/A,Closed,01 STATEN ISLAND,STATEN ISLAND,STATEN ISLAND
26986456,DSNY,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,11203,,,LINDEN BOULEVARD,BROOKLYN AVENUE,LINDEN BOULEVARD,BROOKLYN AVENUE,INTERSECTION,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26985288,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10461,2428A MACLAY AVENUE,MACLAY AVENUE,ZEREGA AVENUE,HUBBELL STREET,,,ADDRESS,BRONX,Precinct,Closed,10 BRONX,BRONX,BRONX
26983955,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,11221,,,,,MADISON STREET,BUSHWICK AVENUE,INTERSECTION,BROOKLYN,N/A,Closed,04 BROOKLYN,BROOKLYN,BROOKLYN
26986016,DOT,Department of Transportation,Street Light Condition,Lamppost Damaged,,11204,924 MC DONALD AVENUE,MC DONALD AVENUE,MC DONALD AVE,18 AVE,MC DONALD AVENUE,18 AVENUE,INTERSECTION,BROOKLYN,N/A,Assigned,12 BROOKLYN,BROOKLYN,BROOKLYN
26984872,DSNY,A - Staten Island,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10303,2876 RICHMOND TERRACE,RICHMOND TERRACE,VAN PELT AVENUE,DE HART AVENUE,,,ADDRESS,STATEN ISLAND,N/A,Closed,01 STATEN ISLAND,STATEN ISLAND,STATEN ISLAND
26986425,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11693,16-32 CROSS BAY BOULEVARD,CROSS BAY BOULEVARD,CROSS BAY BLVD,17 RD,CROSS BAY BOULEVARD,17 ROAD,INTERSECTION,Far Rockaway,N/A,Closed,Unspecified QUEENS,QUEENS,QUEENS
26984341,NYPD,New York City Police Department,Animal Abuse,No Shelter,Commercial,10458,201 BEDFORD PARK BOULEVARD,BEDFORD PARK BOULEVARD,GRAND CONCOURSE,VALENTINE AVENUE,,,ADDRESS,BRONX,Precinct,Closed,07 BRONX,BRONX,BRONX
26986090,HRA,HRA Benefit Card Replacement,Benefit Card Replacement,Medicaid,NYC Street Address,,,,,,,,,,N/A,Closed,0 Unspecified,Unspecified,Unspecified
26984066,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11221,136 STOCKHOLM STREET,STOCKHOLM STREET,MYRTLE AVENUE,WILSON AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,04 BROOKLYN,BROOKLYN,BROOKLYN
26985917,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,11218,888 MCDONALD AVENUE,MCDONALD AVENUE,AVENUE F,18 AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,12 BROOKLYN,BROOKLYN,BROOKLYN
26985677,DOT,Department of Transportation,Street Condition,Line/Marking - Faded,Bike Lane,10456,,,,,PARK AVENUE,EAST  165 STREET,INTERSECTION,BRONX,N/A,Closed,03 BRONX,BRONX,BRONX
26983506,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11226,1054 ROGERS AVE,ROGERS AVE,,,,,LATLONG,BROOKLYN,Precinct,Closed,01 BROOKLYN,BROOKLYN,BROOKLYN
26983641,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10466,658 EAST 227 STREET,EAST 227 STREET,CARPENTER AVENUE,LOWERRE PLACE,,,ADDRESS,BRONX,Precinct,Closed,12 BRONX,BRONX,BRONX
26985913,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10303, WRIGHT AVENUE,WRIGHT AVENUE,RICHMOND TERRACE,HOUSMAN AVENUE,,,BLOCKFACE,STATEN ISLAND,Precinct,Closed,01 STATEN ISLAND,STATEN ISLAND,STATEN ISLAND
26986287,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11226,1054 ROGERS AVE,ROGERS AVE,,,,,LATLONG,BROOKLYN,Precinct,Closed,01 BROOKLYN,BROOKLYN,BROOKLYN
26992922,DSNY,Lot Cleaning,Vacant Lot,8 Request to Clean Vacant Lot,Lot,11413,229-01 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,182 STREET,UNNAMED STREET,,,ADDRESS,Springfield Gardens,N/A,Closed,13 QUEENS,QUEENS,QUEENS
26983947,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003,41 EAST 20 STREET,EAST 20 STREET,BROADWAY,PARK AVENUE SOUTH,,,ADDRESS,NEW YORK,Precinct,Closed,05 MANHATTAN,MANHATTAN,MANHATTAN
26983650,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10466,4367 WICKHAM AVENUE,WICKHAM AVENUE,PITMAN AVENUE,NEREID AVENUE,,,ADDRESS,BRONX,Precinct,Closed,12 BRONX,BRONX,BRONX
26985629,DOT,Department of Transportation,Street Sign - Damaged,One Way,Street,11212,,,,,WINTHROP STREET,EAST   96 STREET,INTERSECTION,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26984542,DOF,Department of Finance,DOF Literature Request,SCRIE - Application for Seniors Not Enrolled - English,,,,,,,,,,,N/A,Closed,0 Unspecified,Unspecified,Unspecified
26984148,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11237,1495 DEKALB AVENUE,DEKALB AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,04 BROOKLYN,BROOKLYN,BROOKLYN
26984129,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,10021,1395 2 AVENUE,2 AVENUE,EAST 72 STREET,EAST 73 STREET,,,ADDRESS,NEW YORK,N/A,Closed,08 MANHATTAN,MANHATTAN,MANHATTAN
26985608,DSNY,BCC - Queens West,Sanitation Condition,12 Dead Animals,Sidewalk,11421,92-21 77 STREET,77 STREET,ROCKAWAY BOULEVARD,ATLANTIC AVENUE,,,ADDRESS,Woodhaven,DSNY Garage,Closed,09 QUEENS,QUEENS,QUEENS
26986451,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,11212,,,EAST 96 STREET,WINTHROP STREET,EAST 96 STREET,WINTHROP STREET,INTERSECTION,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26986060,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11378,70-45 57 ROAD,57 ROAD,71 STREET,DEAD END,,,ADDRESS,MASPETH,Precinct,Closed,05 QUEENS,QUEENS,QUEENS
26984101,DOF,Department of Finance,DOF Literature Request,Application for Disability Rent Increase Exemption - English,,,,,,,,,,,N/A,Closed,0 Unspecified,Unspecified,Unspecified
26986042,DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,Sidewalk,11225,299 WINTHROP STREET,WINTHROP STREET,NOSTRAND AVENUE,NEW YORK AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,09 BROOKLYN,BROOKLYN,BROOKLYN
26985682,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11105,,,,,,,,ASTORIA,N/A,Closed,01 QUEENS,QUEENS,QUEENS
26985211,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040,570 WEST 193 STREET,WEST 193 STREET,AUDUBON AVENUE,FT GEORGE AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
26985294,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10466,3606 HARPER AVENUE,HARPER AVENUE,MAROLLA PLACE,HARPER COURT,,,ADDRESS,BRONX,Precinct,Closed,12 BRONX,BRONX,BRONX
26986278,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11364, 73 AVENUE,73 AVENUE,CLEARVIEW EXPWY NB EN 73 AVE,210 STREET,,,BLOCKFACE,OAKLAND GARDENS,Precinct,Closed,08 QUEENS,QUEENS,QUEENS
26986417,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11377,39-23 55 STREET,55 STREET,39 AVENUE,WOODSIDE AVENUE,,,ADDRESS,WOODSIDE,Precinct,Closed,02 QUEENS,QUEENS,QUEENS
26986065,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11377,30-10 HOBART STREET,HOBART STREET,30 AVENUE,51 STREET,,,ADDRESS,WOODSIDE,Precinct,Closed,01 QUEENS,QUEENS,QUEENS
26984533,DOT,Department of Transportation,Traffic Signal Condition,Ped Multiple Lamps,,11226,,,CLARKSON AVE,NOSTRAND AVE,CLARKSON AVENUE,NOSTRAND AVENUE,INTERSECTION,BROOKLYN,N/A,Closed,Unspecified BROOKLYN,BROOKLYN,BROOKLYN
26986453,DOT,Department of Transportation,Traffic Signal Condition,Ped Multiple Lamps,,11226,,,NOSTRAND AVE,CHURCH AVE,NOSTRAND AVENUE,CHURCH AVENUE,INTERSECTION,BROOKLYN,N/A,Closed,Unspecified BROOKLYN,BROOKLYN,BROOKLYN
26985903,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10314,25 MONTAUK PLACE,MONTAUK PLACE,WILLOWBROOK ROAD,HAWTHORNE AVENUE,,,ADDRESS,STATEN ISLAND,Precinct,Closed,01 STATEN ISLAND,STATEN ISLAND,STATEN ISLAND
26985532,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10460,1744 MERRILL STREET,MERRILL STREET,ROSEDALE AVENUE,COMMONWEALTH AVENUE,,,ADDRESS,BRONX,N/A,Closed,09 BRONX,BRONX,BRONX
26984501,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10466,658 EAST 227 STREET,EAST 227 STREET,CARPENTER AVENUE,LOWERRE PLACE,,,ADDRESS,BRONX,Precinct,Closed,12 BRONX,BRONX,BRONX
26985996,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11208,1207 101ST AVE,101ST AVE,,,,,LATLONG,BROOKLYN,Precinct,Closed,05 BROOKLYN,BROOKLYN,BROOKLYN
26983649,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10473,1827 PATTERSON AVENUE,PATTERSON AVENUE,TAYLOR AVENUE,THIERIOT AVENUE,,,ADDRESS,BRONX,Precinct,Closed,09 BRONX,BRONX,BRONX
26983490,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10312,165 SEIDMAN AVENUE,SEIDMAN AVENUE,SYCAMORE STREET,KOCH BOULEVARD,,,ADDRESS,STATEN ISLAND,Precinct,Closed,03 STATEN ISLAND,STATEN ISLAND,STATEN ISLAND
26986481,DCA,Department of Consumer Affairs,Consumer Complaint,Contract Dispute,,11223,968 KINGS HIGHWAY,KINGS HIGHWAY,EAST 10 STREET,CONEY ISLAND AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,15 BROOKLYN,BROOKLYN,BROOKLYN
26987390,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,,10128,300 EAST 96 STREET,EAST 96 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,N/A,Open,08 MANHATTAN,MANHATTAN,MANHATTAN
26983664,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11370,77-08 30 AVENUE,30 AVENUE,77 STREET,78 STREET,,,ADDRESS,EAST ELMHURST,Precinct,Closed,03 QUEENS,QUEENS,QUEENS
26992798,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11238,388 PARK PLACE,PARK PLACE,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,N/A,Assigned,08 BROOKLYN,BROOKLYN,BROOKLYN
26984068,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11235,2784 EAST 12 STREET,EAST 12 STREET,LAWN COURT,BEND,,,ADDRESS,BROOKLYN,Precinct,Closed,15 BROOKLYN,BROOKLYN,BROOKLYN
26985622,DSNY,BCC - Brooklyn South,Sanitation Condition,12 Dead Animals,Sidewalk,11204,2046 66 STREET,66 STREET,20 AVENUE,21 AVENUE,,,ADDRESS,BROOKLYN,DSNY Garage,Closed,11 BROOKLYN,BROOKLYN,BROOKLYN
26991352,DOB,Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,10451,721 WALTON AVENUE,WALTON AVENUE,EAST 153 STREET,EAST 157 STREET,,,ADDRESS,BRONX,N/A,Assigned,04 BRONX,BRONX,BRONX
