Unique Key,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Status,Community Board,Borough,Park Borough
26997181,DOT,Department of Transportation,Street Condition,Pothole,,11236,,,,,EAST 93 STREET,GLENWOOD ROAD,INTERSECTION,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26998782,DOT,Department of Transportation,Street Condition,Pothole,,11236,,,,,CONKLIN AVENUE,EAST 95 STREET,INTERSECTION,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26985904,DSNY,BCC - Brooklyn South,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11204,1776 53 STREET,53 STREET,17 AVENUE,LONG ISLAND RAILROAD,,,ADDRESS,BROOKLYN,DSNY Garage,Closed,12 BROOKLYN,BROOKLYN,BROOKLYN
26998901,DOT,Department of Transportation,Street Condition,Pothole,,11236,,,,,EAST 95 STREET,FARRAGUT ROAD,INTERSECTION,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26997967,DOT,Department of Transportation,Street Condition,Pothole,,11234, EAST   53 STREET,EAST   53 STREET,AVENUE M,AVENUE N,,,BLOCKFACE,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
27002240,DOT,Department of Transportation,Street Condition,Pothole,,11234, AVENUE O,AVENUE O,EAST   53 STREET,EAST   54 STREET,,,BLOCKFACE,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26986506,DCA,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,,10011,,,,,6 AVENUE,WEST   18 STREET,INTERSECTION,NEW YORK,N/A,Closed,04 MANHATTAN,MANHATTAN,MANHATTAN
26999750,DOT,Department of Transportation,Street Condition,Pothole,,11234,,,,,AVENUE N,EAST 68 STREET,INTERSECTION,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26998857,DOT,Department of Transportation,Street Condition,Pothole,,11236,,,,,AVENUE J,EAST 80 STREET,INTERSECTION,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26997147,DOT,Department of Transportation,Street Condition,Pothole,,11236, AVENUE K,AVENUE K,EAST   95 STREET,EAST   96 STREET,,,BLOCKFACE,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
27003068,DOT,Department of Transportation,Street Condition,Pothole,,11236,,,,,AVENUE K,ROCKAWAY PARKWAY,INTERSECTION,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
27001300,DOT,Department of Transportation,Street Condition,Pothole,,11236,,,,,EAST 108 STREET,FLATLANDS AVENUE,INTERSECTION,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
27001292,DOT,Department of Transportation,Street Condition,Pothole,,11236,,,,,EAST 105 STREET,SEAVIEW AVENUE,INTERSECTION,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26986469,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11354,144-05 38TH AVENUE,38TH AVENUE,,,,,LATLONG,FLUSHING,Precinct,Closed,07 QUEENS,QUEENS,QUEENS
26984155,DOB,Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,10009,401 EAST 8 STREET,EAST 8 STREET,AVENUE C,AVENUE D,,,ADDRESS,NEW YORK,N/A,Closed,03 MANHATTAN,MANHATTAN,MANHATTAN
26984769,DOF,Department of Finance,DOF Literature Request,SCRIE TAC Adjustment Application for Tenants,,,,,,,,,,,N/A,Closed,0 Unspecified,Unspecified,Unspecified
26984499,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11221,174 CENTRAL AVENUE,CENTRAL AVENUE,SUYDAM STREET,HART STREET,,,ADDRESS,BROOKLYN,Precinct,Closed,04 BROOKLYN,BROOKLYN,BROOKLYN
26986478,DCA,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,,11373,88-12 QUEENS BOULEVARD,QUEENS BOULEVARD,55 ROAD,56 AVENUE,,,ADDRESS,ELMHURST,N/A,Closed,04 QUEENS,QUEENS,QUEENS
26986337,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10014,18 CHRISTOPHER ST,CHRISTOPHER ST,GAY ST,GROVE ST,,,ADDRESS,NEW YORK,N/A,Closed,Unspecified MANHATTAN,MANHATTAN,MANHATTAN
26984506,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220,226 55 STREET,55 STREET,2 AVENUE,GOWANUS EXPRESSWAY EXIT 22 WB,,,ADDRESS,BROOKLYN,Precinct,Closed,07 BROOKLYN,BROOKLYN,BROOKLYN
27002932,DOT,Department of Transportation,Street Condition,Pothole,,11210, ALBANY AVENUE,ALBANY AVENUE,AVENUE I,EAST   40 STREET,,,BLOCKFACE,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
27002282,DOT,Department of Transportation,Street Condition,Pothole,,11226,,,,,AVENUE D,EAST 28 STREET,INTERSECTION,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26998893,DOT,Department of Transportation,Street Condition,Pothole,,11203, UTICA AVENUE,UTICA AVENUE,SNYDER AVENUE,TILDEN AVENUE,,,BLOCKFACE,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26984504,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11435,86-09 143 STREET,143 STREET,86 AVENUE,86 ROAD,,,ADDRESS,JAMAICA,Precinct,Closed,08 QUEENS,QUEENS,QUEENS
27002951,DOT,Department of Transportation,Street Condition,Pothole,,11203, UTICA AVENUE,UTICA AVENUE,FARRAGUT ROAD,FOSTER AVENUE,,,BLOCKFACE,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26983704,DOF,Department of Finance,DOF Literature Request,Property Tax Exemption Application for Owners - English,,,,,,,,,,,N/A,Closed,0 Unspecified,Unspecified,Unspecified
26985122,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11365,,,,,184 STREET,50 AVENUE,INTERSECTION,FRESH MEADOWS,Precinct,Closed,11 QUEENS,QUEENS,QUEENS
26983935,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11368,111-83 44 AVENUE,44 AVENUE,111 STREET,114 STREET,,,ADDRESS,CORONA,Precinct,Closed,04 QUEENS,QUEENS,QUEENS
26986421,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10036,419 WEST 44 STREET,WEST 44 STREET,9 AVENUE,10 AVENUE,,,ADDRESS,NEW YORK,N/A,Closed,04 MANHATTAN,MANHATTAN,MANHATTAN
26984343,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10012,495 BROADWAY,BROADWAY,BROOME STREET,SPRING STREET,,,ADDRESS,NEW YORK,Precinct,Closed,02 MANHATTAN,MANHATTAN,MANHATTAN
26985696,DSNY,A - Queens,Snow,E9 Snow / Icy Sidewalk,Sidewalk,11367,78-03 147 STREET,147 STREET,78 AVENUE,78 ROAD,,,ADDRESS,Flushing,N/A,Closed,08 QUEENS,QUEENS,QUEENS
26983645,DSNY,BCC - Manhattan,Dirty Conditions,E2 Receptacle Violation,Sidewalk,10040,165 HILLSIDE AVENUE,HILLSIDE AVENUE,BEND,BEND,,,ADDRESS,NEW YORK,DSNY Garage,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
26985916,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11201,,,MIDDAGH ST,HICKS ST,MIDDAGH STREET,HICKS STREET,INTERSECTION,BROOKLYN,N/A,Closed,Unspecified BROOKLYN,BROOKLYN,BROOKLYN
27003065,DOT,Department of Transportation,Street Condition,Pothole,,11203, UTICA AVENUE,UTICA AVENUE,CHURCH AVENUE,LINDEN BOULEVARD,,,BLOCKFACE,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26984338,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11379,83-10 62 AVENUE,62 AVENUE,83 STREET,CALDWELL AVENUE,,,ADDRESS,MIDDLE VILLAGE,Precinct,Closed,05 QUEENS,QUEENS,QUEENS
27002086,DOT,Department of Transportation,Street Condition,Pothole,,11234,,,,,GLENWOOD ROAD,UTICA AVENUE,INTERSECTION,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26985161,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11210,1172 EAST 37 STREET,EAST 37 STREET,AVENUE I,AVENUE J,,,ADDRESS,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26984778,NYPD,New York City Police Department,Noise - House of Worship,Loud Music/Party,House of Worship,11211,,,,,MARCY AVENUE,HOOPER STREET,INTERSECTION,BROOKLYN,Precinct,Closed,01 BROOKLYN,BROOKLYN,BROOKLYN
26983601,DOHMH,Department of Health and Mental Hygiene,Indoor Sewage,Sewage Odor,3+ Family Apt. Building,11226,201 LINDEN BOULEVARD,LINDEN BOULEVARD,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26999779,DOT,Department of Transportation,Street Condition,Pothole,,11207,755 SNEDIKER AVENUE,SNEDIKER AVENUE,LINDEN BOULEVARD,DE WITT AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,05 BROOKLYN,BROOKLYN,BROOKLYN
27001402,DOT,Department of Transportation,Street Condition,Pothole,,11208, CYPRESS COURT,CYPRESS COURT,CRESCENT STREET,DEAD END,,,BLOCKFACE,BROOKLYN,N/A,Closed,05 BROOKLYN,BROOKLYN,BROOKLYN
26999786,DOT,Department of Transportation,Street Condition,Wear & Tear,,11237,,,,,HARMAN STREET,MYRTLE AVENUE,INTERSECTION,BROOKLYN,N/A,Pending,04 BROOKLYN,BROOKLYN,BROOKLYN
27002030,DEP,Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),,11220,,,,,2 AVENUE,58 STREET,INTERSECTION,BROOKLYN,N/A,Closed,07 BROOKLYN,BROOKLYN,BROOKLYN
26985280,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220,226 55 STREET,55 STREET,2 AVENUE,GOWANUS EXPRESSWAY EXIT 22 WB,,,ADDRESS,BROOKLYN,Precinct,Closed,07 BROOKLYN,BROOKLYN,BROOKLYN
26983536,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11436,129-32 145 STREET,145 STREET,129 AVENUE,130 AVENUE,,,ADDRESS,Jamaica,N/A,Closed,12 QUEENS,QUEENS,QUEENS
26985933,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11204,,,17 AVE,59 ST,17 AVENUE,59 STREET,INTERSECTION,BROOKLYN,N/A,Closed,Unspecified BROOKLYN,BROOKLYN,BROOKLYN
26985704,DSNY,Queens East 12,Missed Collection (All Materials),2 Bulk-Missed Collection,Sidewalk,11433,173-07 SAYRES AVENUE,SAYRES AVENUE,173 STREET,174 STREET,,,ADDRESS,Jamaica,N/A,Closed,12 QUEENS,QUEENS,QUEENS
26985540,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11214,,,21 AVE,80 ST,21 AVENUE,80 STREET,INTERSECTION,BROOKLYN,N/A,Closed,Unspecified BROOKLYN,BROOKLYN,BROOKLYN
26983937,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,AVE S,8 ST W,AVE S,8 ST W,INTERSECTION,,N/A,Closed,Unspecified BROOKLYN,BROOKLYN,BROOKLYN
26986433,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11369,32-61 110 STREET,110 STREET,ASTORIA BOULEVARD,NORTHERN BOULEVARD,,,ADDRESS,EAST ELMHURST,Precinct,Closed,03 QUEENS,QUEENS,QUEENS
26985231,HRA,HRA Benefit Card Replacement,Benefit Card Replacement,Food Stamp,Address Outside of NYC,,,,,,,,,,N/A,Closed,0 Unspecified,Unspecified,Unspecified
26985164,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11367,,,,,73 TERRACE,141 STREET,INTERSECTION,Flushing,N/A,Closed,08 QUEENS,QUEENS,QUEENS
26986441,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10019,145 WEST 55 STREET,WEST 55 STREET,6 1/2 AVENUE,7 AVENUE,,,ADDRESS,NEW YORK,N/A,Closed,05 MANHATTAN,MANHATTAN,MANHATTAN
26984389,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11222,17 MONITOR ST,MONITOR ST,RICHARDSON ST,HERBERT ST,,,ADDRESS,BROOKLYN,N/A,Closed,Unspecified BROOKLYN,BROOKLYN,BROOKLYN
26986435,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Residential Building,11433,107-39 159 STREET,159 STREET,107 AVENUE,108 AVENUE,,,ADDRESS,JAMAICA,N/A,Pending,12 QUEENS,QUEENS,QUEENS
26983648,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10314,112 BRAISTED AVENUE,BRAISTED AVENUE,KELLY BOULEVARD,DENKER PLACE,,,ADDRESS,STATEN ISLAND,Precinct,Closed,02 STATEN ISLAND,STATEN ISLAND,STATEN ISLAND
26983483,NYPD,New York City Police Department,Animal Abuse,In Car,Street/Sidewalk,10461,2435 FRISBY AVENUE,FRISBY AVENUE,ZEREGA AVENUE,ROWLAND STREET,,,ADDRESS,BRONX,Precinct,Closed,10 BRONX,BRONX,BRONX
26985529,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,820 OCEAN PARKWAY,OCEAN PARKWAY,AVENUE H,LONG ISLAND RAILROAD,,,ADDRESS,BROOKLYN,Precinct,Closed,14 BROOKLYN,BROOKLYN,BROOKLYN
26985559,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,10314,186 MONAHAN AVE,MONAHAN AVE,KELLY BLVD,DENKER PL,,,ADDRESS,STATEN ISLAND,N/A,Closed,Unspecified STATEN ISLAND,STATEN ISLAND,STATEN ISLAND
26983657,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10469,3018 MICKLE AVENUE,MICKLE AVENUE,ADEE AVENUE,HAMMERSLEY AVENUE,,,ADDRESS,BRONX,Precinct,Closed,12 BRONX,BRONX,BRONX
26984748,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,GRAND CENTRAL PKWY,LITTLE NECK PKWY,GRAND CENTRAL PKWY,LITTLE NECK PKWY,INTERSECTION,,N/A,Closed,Unspecified QUEENS,QUEENS,QUEENS
26984337,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11234,5515 MILL LANE,MILL LANE,,,,,LATLONG,BROOKLYN,Precinct,Closed,01 BROOKLYN,BROOKLYN,BROOKLYN
26984749,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11364,56-47 CLOVERDALE BOULEVARD,CLOVERDALE BOULEVARD,56 AVENUE,57 AVENUE,,,ADDRESS,OAKLAND GARDENS,Precinct,Closed,11 QUEENS,QUEENS,QUEENS
26986312,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,GRAND CONCOURSE,FORDHAM RD EAST,GRAND CONCOURSE,FORDHAM RD EAST,INTERSECTION,,N/A,Closed,Unspecified BRONX,BRONX,BRONX
26984381,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10010,25 PARK AVENUE SOUTH,PARK AVENUE SOUTH,EAST   20 STREET,EAST   21 STREET,,,BLOCKFACE,NEW YORK,N/A,Closed,05 MANHATTAN,MANHATTAN,MANHATTAN
26984798,DEP,Department of Environmental Protection,Hazardous Materials,Chemical Odor (HD1),,10033,717 WEST 177 STREET,WEST 177 STREET,BROADWAY,FT WASHINGTON AVENUE,,,ADDRESS,NEW YORK,N/A,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
27000451,DOT,Department of Transportation,Street Condition,Pothole,,11236,,,,,DITMAS AVENUE,ROCKAWAY PARKWAY,INTERSECTION,BROOKLYN,N/A,Closed,17 BROOKLYN,BROOKLYN,BROOKLYN
26998023,DOT,Department of Transportation,Street Condition,Pothole,,11236, AVENUE D,AVENUE D,EAST   99 STREET,ROCKAWAY PARKWAY,,,BLOCKFACE,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26984453,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10472,1239 THIERIOT AVENUE,THIERIOT AVENUE,GLEASON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,Precinct,Closed,09 BRONX,BRONX,BRONX
26986497,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11230,1576 OCEAN AVENUE,OCEAN AVENUE,AVENUE J,AVENUE K,,,ADDRESS,BROOKLYN,N/A,Open,14 BROOKLYN,BROOKLYN,BROOKLYN
26983529,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11219,,,NEW UTRECHT AVE,51 ST,NEW UTRECHT AVENUE,51 STREET,INTERSECTION,BROOKLYN,N/A,Closed,Unspecified BROOKLYN,BROOKLYN,BROOKLYN
26985897,DOT,Department of Transportation,Street Light Condition,Lamppost Missing,,11375,110-30 69 ROAD,69 ROAD,110 STREET,112 STREET,,,ADDRESS,Forest Hills,N/A,Closed,06 QUEENS,QUEENS,QUEENS
26985703,DEP,Department of Environmental Protection,Air Quality,"Air: Smoke, Chimney or vent (AS1)",,10033,717 WEST 177 STREET,WEST 177 STREET,BROADWAY,FT WASHINGTON AVENUE,,,ADDRESS,NEW YORK,N/A,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
26985135,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,,,,AVE K,80 ST E,AVE K,80 ST E,INTERSECTION,,N/A,Closed,Unspecified BROOKLYN,BROOKLYN,BROOKLYN
26984876,NYPD,New York City Police Department,Animal Abuse,Chained,Store/Commercial,10455,505 TINTON AVENUE,TINTON AVENUE,EAST 147 STREET,EAST 149 STREET,,,ADDRESS,BRONX,Precinct,Closed,01 BRONX,BRONX,BRONX
26985539,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10011,1 WEST 15 STREET,WEST 15 STREET,5 AVENUE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,N/A,Closed,05 MANHATTAN,MANHATTAN,MANHATTAN
26985306,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11230,1576 OCEAN AVENUE,OCEAN AVENUE,AVENUE J,AVENUE K,,,ADDRESS,BROOKLYN,N/A,Closed,14 BROOKLYN,BROOKLYN,BROOKLYN
26986420,DSNY,A - Queens,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11368,110-19 56 AVENUE,56 AVENUE,CORONA AVENUE,111 STREET,,,ADDRESS,Corona,N/A,Closed,04 QUEENS,QUEENS,QUEENS
26985137,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11434,134-29 154 STREET,154 STREET,134 AVENUE,137 AVENUE,,,ADDRESS,Jamaica,N/A,Closed,12 QUEENS,QUEENS,QUEENS
26986445,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11378,70-45 57 ROAD,57 ROAD,71 STREET,DEAD END,,,ADDRESS,MASPETH,Precinct,Closed,05 QUEENS,QUEENS,QUEENS
26983957,NYPD,New York City Police Department,Animal Abuse,Other (complaint details),Residential Building/House,10455,505 TINTON AVENUE,TINTON AVENUE,EAST 147 STREET,EAST 149 STREET,,,ADDRESS,BRONX,Precinct,Closed,01 BRONX,BRONX,BRONX
26997975,DOT,Department of Transportation,Street Condition,Pothole,,11234,,,,,AVENUE L,BERGEN AVENUE,INTERSECTION,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26984505,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11208,459 SHEPHERD AVENUE,SHEPHERD AVENUE,PITKIN AVENUE,BELMONT AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,05 BROOKLYN,BROOKLYN,BROOKLYN
27000578,DOT,Department of Transportation,Street Condition,Pothole,,11234, EAST   70 STREET,EAST   70 STREET,AVENUE L,AVENUE M,,,BLOCKFACE,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26984443,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,10033,,,,,WEST 187 STREET,BENNETT AVENUE,INTERSECTION,NEW YORK,N/A,Closed,12 MANHATTAN,MANHATTAN,MANHATTAN
27001293,DOT,Department of Transportation,Street Condition,Pothole,,11234,,,,,AVENUE U,EAST 69 STREET,INTERSECTION,BROOKLYN,N/A,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26984765,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11219,6612 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,66 STREET,15 AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,11 BROOKLYN,BROOKLYN,BROOKLYN
26984159,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,,11419,114-14 95 AVENUE,95 AVENUE,BEND,115 STREET,,,ADDRESS,South Richmond Hill,N/A,Closed,09 QUEENS,QUEENS,QUEENS
26986064,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,DYER AVE,35 ST W,DYER AVE,35 ST W,INTERSECTION,,N/A,Closed,Unspecified MANHATTAN,MANHATTAN,MANHATTAN
26984925,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11419,114-14 95 AVENUE,95 AVENUE,BEND,115 STREET,,,ADDRESS,South Richmond Hill,N/A,Closed,09 QUEENS,QUEENS,QUEENS
26997125,DOT,Department of Transportation,Street Condition,Pothole,,11224,321 SEA BREEZE AVENUE,SEA BREEZE AVENUE,WEST 2 STREET,WEST 5 STREET,,,ADDRESS,BROOKLYN,N/A,Closed,13 BROOKLYN,BROOKLYN,BROOKLYN
26985521,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11210,,,FOSTER AVE,OCEAN AVE,FOSTER AVENUE,OCEAN AVENUE,INTERSECTION,BROOKLYN,N/A,Closed,Unspecified BROOKLYN,BROOKLYN,BROOKLYN
26997134,DOT,Department of Transportation,Street Condition,Pothole,,11224, NEPTUNE AVENUE,NEPTUNE AVENUE,STILLWELL AVENUE,WEST   12 STREET,,,BLOCKFACE,BROOKLYN,N/A,Closed,13 BROOKLYN,BROOKLYN,BROOKLYN
26984055,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,,11229,2020 HOMECREST AVENUE,HOMECREST AVENUE,AVENUE T,AVENUE U,,,ADDRESS,BROOKLYN,N/A,Closed,15 BROOKLYN,BROOKLYN,BROOKLYN
26983466,FDNY,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,On Site Test,Street Address,10011,300 WEST 22 STREET,WEST 22 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,N/A,Closed,04 MANHATTAN,MANHATTAN,MANHATTAN
26983644,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,8601 AVENUE N,AVENUE N,EAST 86 STREET,EAST 87 STREET,,,ADDRESS,BROOKLYN,Precinct,Closed,18 BROOKLYN,BROOKLYN,BROOKLYN
26983512,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11209,330 88 STREET,88 STREET,3 AVENUE,4 AVENUE,,,ADDRESS,BROOKLYN,N/A,Closed,10 BROOKLYN,BROOKLYN,BROOKLYN
26984804,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10306,1820 RICHMOND ROAD,RICHMOND ROAD,STOBE AVENUE,JEFFERSON AVENUE,,,ADDRESS,STATEN ISLAND,N/A,Closed,02 STATEN ISLAND,STATEN ISLAND,STATEN ISLAND
26984019,DPR,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,Street,11365,70-22 175 STREET,175 STREET,JEWEL AVENUE,73 AVENUE,,,ADDRESS,FRESH MEADOWS,N/A,Closed,08 QUEENS,QUEENS,QUEENS
26984380,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,11691,,,BEACH 20 ST,NEW HAVEN AVE,BEACH 20 STREET,NEW HAVEN AVENUE,INTERSECTION,Far Rockaway,N/A,Closed,Unspecified QUEENS,QUEENS,QUEENS
26985918,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,10306,75 WOLVERINE STREET,WOLVERINE STREET,AMBOY ROAD,RIEDEL AVENUE,,,ADDRESS,STATEN ISLAND,N/A,Closed,03 STATEN ISLAND,STATEN ISLAND,STATEN ISLAND
26984752,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11229,2020 HOMECREST AVENUE,HOMECREST AVENUE,AVENUE T,AVENUE U,,,ADDRESS,BROOKLYN,N/A,Closed,15 BROOKLYN,BROOKLYN,BROOKLYN
26984127,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,11358,35-66 164 STREET,164 STREET,35 AVENUE,CROCHERON AVENUE,,,ADDRESS,FLUSHING,N/A,Closed,07 QUEENS,QUEENS,QUEENS
26983638,DSNY,A - Brooklyn,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,11235,1625 EMMONS AVENUE,EMMONS AVENUE,EAST 16 STREET,SHEEPSHEAD BAY ROAD,,,ADDRESS,BROOKLYN,N/A,Closed,15 BROOKLYN,BROOKLYN,BROOKLYN
26984922,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,,10456,1385 FULTON AVENUE,FULTON AVENUE,EAST 169 STREET,EAST 170 STREET,,,ADDRESS,BRONX,N/A,Closed,03 BRONX,BRONX,BRONX
26986066,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11233,1502 ST MARKS AVENUE,ST MARKS AVENUE,HOWARD AVENUE,SARATOGA AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,16 BROOKLYN,BROOKLYN,BROOKLYN
26986093,DEP,Department of Environmental Protection,Air Quality,"Air: Smoke, Chimney or vent (AS1)",,10003,33 UNION SQUARE WEST,UNION SQUARE WEST,EAST 16 STREET,BROADWAY,UNION SQUARE WEST,EAST 16 STREET,ADDRESS,NEW YORK,N/A,Closed,05 MANHATTAN,MANHATTAN,MANHATTAN
26983943,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,550 EAST 4 STREET,EAST 4 STREET,AVENUE C,CORTELYOU ROAD,,,ADDRESS,BROOKLYN,Precinct,Closed,12 BROOKLYN,BROOKLYN,BROOKLYN
27002257,DOT,Department of Transportation,Street Condition,Wear & Tear,,11208, SHEPHERD AVENUE,SHEPHERD AVENUE,ARLINGTON AVENUE,RIDGEWOOD AVENUE,,,BLOCKFACE,BROOKLYN,N/A,Pending,05 BROOKLYN,BROOKLYN,BROOKLYN
26983467,DOT,Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,10305,,,BAY ST,NEW LA,BAY STREET,NEW LANE,INTERSECTION,STATEN ISLAND,N/A,Closed,01 STATEN ISLAND,STATEN ISLAND,STATEN ISLAND
