Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
26984024,12/25/2013 11:50:05 PM,12/26/2013 03:56:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10456,209 EAST 165 STREET,EAST 165 STREET,SHERIDAN AVENUE,SHERMAN AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,12/26/2013 07:50:05 AM,12/26/2013 03:56:01 AM,04 BRONX,BRONX,1006789,241748,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83018909951783,-73.91855511891153,"(40.83018909951783, -73.91855511891153)"
26984136,12/25/2013 11:47:45 PM,12/26/2013 02:49:03 AM,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11416, 87 STREET,87 STREET,95 AVENUE,97 AVENUE,,,BLOCKFACE,OZONE PARK,,Precinct,Closed,12/26/2013 07:47:45 AM,12/26/2013 02:49:03 AM,09 QUEENS,QUEENS,1024760,188727,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68459608548068,-73.85393631003873,"(40.68459608548068, -73.85393631003873)"
26984933,12/25/2013 11:47:00 PM,12/26/2013 09:23:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Dayburning,,11375,,,64 AVE,108 ST,64 AVENUE,108 STREET,INTERSECTION,Forest Hills,,N/A,Closed,,12/26/2013 09:23:00 AM,Unspecified QUEENS,QUEENS,1025931,206343,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73294232469351,-73.84960508550044,"(40.73294232469351, -73.84960508550044)"
26985342,12/25/2013 11:45:22 PM,04/18/2014 08:59:36 AM,DOT,Department of Transportation,Street Sign - Damaged,"No Parking, Standing, Stopping",Street,11375,63-72 108 STREET,108 STREET,63 DRIVE,64 AVENUE,,,ADDRESS,FOREST HILLS,,N/A,Closed,06/24/2014 09:10:25 AM,04/18/2014 08:59:36 AM,06 QUEENS,QUEENS,1025878,206470,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73329115756632,-73.84979553590965,"(40.73329115756632, -73.84979553590965)"
26984964,12/25/2013 11:42:31 PM,12/26/2013 04:07:23 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,726 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 95 STREET,WEST 96 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/26/2013 07:42:31 AM,12/26/2013 04:07:23 AM,07 MANHATTAN,MANHATTAN,992372,228430,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79365992334834,-73.97066718696469,"(40.79365992334834, -73.97066718696469)"
26994847,12/25/2013 11:37:28 PM,12/26/2013 09:13:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11224,873 NEPTUNE AVENUE,NEPTUNE AVENUE,SHEEPSHEAD BAY ROAD,WEST 12 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,12/26/2013 09:13:00 AM,13 BROOKLYN,BROOKLYN,990287,150440,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.579597037075104,-73.97826709867553,"(40.579597037075104, -73.97826709867553)"
26984145,12/25/2013 11:36:58 PM,12/26/2013 03:02:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10036,,,,,WEST   47 STREET,6 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,12/26/2013 07:36:58 AM,12/26/2013 03:02:34 AM,05 MANHATTAN,MANHATTAN,989294,215445,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7580218047754,-73.98179321024965,"(40.7580218047754, -73.98179321024965)"
26984142,12/25/2013 11:34:54 PM,12/26/2013 04:05:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,726 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 95 STREET,WEST 96 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,12/26/2013 07:34:54 AM,12/26/2013 04:05:18 AM,07 MANHATTAN,MANHATTAN,992372,228430,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79365992334834,-73.97066718696469,"(40.79365992334834, -73.97066718696469)"
26984080,12/25/2013 11:34:18 PM,12/26/2013 02:12:49 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11417,84-13 108 AVENUE,108 AVENUE,84 STREET,86 STREET,,,ADDRESS,OZONE PARK,,Precinct,Closed,12/26/2013 07:34:18 AM,12/26/2013 02:12:49 AM,10 QUEENS,QUEENS,1025197,185951,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67697459579224,-73.85237752471662,"(40.67697459579224, -73.85237752471662)"
26985290,12/25/2013 11:33:56 PM,12/26/2013 01:31:31 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11365,61-53 160 STREET,160 STREET,LONG ISLAND EXPRESSWAY,65 AVENUE,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,12/26/2013 07:33:56 AM,12/26/2013 01:31:31 AM,08 QUEENS,QUEENS,1037324,208227,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73805240115205,-73.80848169893294,"(40.73805240115205, -73.80848169893294)"
